product_name,photo_url
MiHoYo - Genshin Impact: Ganyu Frostdew Trail Ver. 1/7 Figure,MiHoYo_files/APX42085-1-250x250.jpg
MiHoYo - Genshin Impact: Ningguang 1/7 Figure,MiHoYo_files/MO53602-1-250x250.jpg
MiHoYo - Genshin Impact: Xiao Vigilant Yaksha Ver.,MiHoYo_files/APX42119-0-250x250.jpg
